 obs       t        f      s
1     133 122.7000 5.7000
2     143 109.5000 5.4000
3     153 101.4000 5.2000
4     163  92.0000 4.9000
5     173  86.8000 4.8000
6     183  83.7000 4.7000
7     193  77.2000 4.5000
8     203  69.4000 4.3000
9     213  69.2000 4.3000
10    223  62.4000 4.1000
11    233  65.0000 4.1000
12    243  57.2000 3.9000
13    253  54.6000 3.8000
14    263  54.3000 3.8000
15    278  50.8000 2.6000
16    298  49.8000 2.6000
17    318  45.4000 2.5000
18    338  45.5000 2.5000
19    358  46.9000 2.5000
20    378  40.2000 2.3000
21    398  41.7000 2.4000
22    418  39.4000 2.3000
23    438  39.9000 2.3000
24    458  34.8000 2.2000
25    478  31.9000 2.1000
26    498  31.5000 2.1000
27    518  32.5000 2.1000
28    538  27.4000 1.9000
29    558  32.4000 2.1000
30    578  29.8000 2.0000
31    598  28.5000 2.0000
32    618  29.1000 2.0000
33    638  24.8000 1.8000
34    658  27.3000 1.9000
35    658  27.3000 1.9000
36    658  27.3000 1.9000
37    658  27.3000 1.9000
38    658  27.3000 1.9000
39    658  27.3000 1.9000
40    678  24.6000 1.8000
41    708  24.2000 1.3000
42    748  20.4000 1.2000
43    788  19.8000 1.2000
44    828  19.0000 1.1000
45    868  16.3000 1.1000
46    908  18.5000 1.1000
47    948  17.6000 1.1000
48    988  16.3000 1.1000
49   1028  15.5000 1.4000
50   6009   1.0720 0.1340
51   6309   1.3310 0.1530
52   6609   0.9870 0.1260
53   6909   1.0100 0.1520
54  11809   0.5600 0.0560
55  12509   0.4820 0.0520
56  18109   0.3310 0.0520
57  23859   0.1730 0.0390
58  27859   0.1080 0.0280
59  35859   0.0790 0.0210
60  81459   0.0361 0.0088
61  99102   0.0273 0.0078
62 165485   0.0080 0.0016
63 412515   0.0013 0.0006
